"","type","date","country","total_cases"
"292","recovered",2020-02-04,"Japan",0
"293","recovered",2020-02-04,"Spain",0
"294","recovered",2020-02-04,"US",0
"295","confirmed",2020-02-05,"Australia",0
"296","confirmed",2020-02-05,"Belgium",0
"297","confirmed",2020-02-05,"China",3733
"298","confirmed",2020-02-05,"Italy",0
"299","confirmed",2020-02-05,"Japan",1
"300","confirmed",2020-02-05,"Spain",0
"301","confirmed",2020-02-05,"US",0
"302","death",2020-02-05,"Australia",0
"303","death",2020-02-05,"Belgium",0
"304","death",2020-02-05,"China",72
"305","death",2020-02-05,"Italy",0
"306","death",2020-02-05,"Japan",0
"307","death",2020-02-05,"Spain",0
"308","death",2020-02-05,"US",0
"309","recovered",2020-02-05,"Australia",0
"310","recovered",2020-02-05,"Belgium",0
"311","recovered",2020-02-05,"China",272
"312","recovered",2020-02-05,"Italy",0
"313","recovered",2020-02-05,"Japan",0
"314","recovered",2020-02-05,"Spain",0
"315","recovered",2020-02-05,"US",0
"316","confirmed",2020-02-06,"Australia",1
"317","confirmed",2020-02-06,"Belgium",0
"318","confirmed",2020-02-06,"China",3147
"319","confirmed",2020-02-06,"Italy",0
"320","confirmed",2020-02-06,"Japan",0
"321","confirmed",2020-02-06,"Spain",0
"322","confirmed",2020-02-06,"US",0
"323","death",2020-02-06,"Australia",0
"324","death",2020-02-06,"Belgium",0
"325","death",2020-02-06,"China",70
"326","death",2020-02-06,"Italy",0
"327","death",2020-02-06,"Japan",0
"328","death",2020-02-06,"Spain",0
"329","death",2020-02-06,"US",0
"330","recovered",2020-02-06,"Australia",0
"331","recovered",2020-02-06,"Belgium",0
"332","recovered",2020-02-06,"China",362
"333","recovered",2020-02-06,"Italy",0
"334","recovered",2020-02-06,"Japan",0
"335","recovered",2020-02-06,"Spain",0
"336","recovered",2020-02-06,"US",0
"337","confirmed",2020-02-07,"Australia",1
"338","confirmed",2020-02-07,"Belgium",0
"339","confirmed",2020-02-07,"China",3523
"340","confirmed",2020-02-07,"Italy",1
"341","confirmed",2020-02-07,"Japan",0
"342","confirmed",2020-02-07,"Spain",0
"343","confirmed",2020-02-07,"US",0
"344","death",2020-02-07,"Australia",0
