"","type","date","country","cases","province","long","lat"
"194","confirmed",2020-01-26,"Australia",0,"Western Australia",115.8605,-31.9505
"195","confirmed",2020-01-26,"Australia",1,"Victoria",144.9631,-37.8136
"196","confirmed",2020-01-26,"Australia",3,"New South Wales",151.2093,-33.8688
"197","confirmed",2020-01-26,"Belgium",0,"",4.469936,50.8333
"198","confirmed",2020-01-26,"China",0,"Inner Mongolia",113.9448,44.0935
"199","confirmed",2020-01-26,"China",0,"Jilin",126.1923,43.6661
"200","confirmed",2020-01-26,"China",0,"Qinghai",95.9956,35.7452
"201","confirmed",2020-01-26,"China",0,"Tibet",88.0924,31.6927
"202","confirmed",2020-01-26,"China",1,"Guizhou",106.8748,26.8154
"203","confirmed",2020-01-26,"China",1,"Ningxia",106.1655,37.2692
"204","confirmed",2020-01-26,"China",1,"Xinjiang",85.2401,41.1129
"205","confirmed",2020-01-26,"China",3,"Gansu",104.2861,35.7518
"206","confirmed",2020-01-26,"China",3,"Hainan",109.7453,19.1959
"207","confirmed",2020-01-26,"China",3,"Hong Kong",114.2,22.3
"208","confirmed",2020-01-26,"China",3,"Macau",113.55,22.1667
"209","confirmed",2020-01-26,"China",3,"Shanxi",112.2922,37.5777
"210","confirmed",2020-01-26,"China",4,"Liaoning",122.6085,41.2956
"211","confirmed",2020-01-26,"China",4,"Tianjin",117.323,39.3054
"212","confirmed",2020-01-26,"China",5,"Hebei",116.1306,39.549
"213","confirmed",2020-01-26,"China",5,"Yunnan",101.487,24.974
"214","confirmed",2020-01-26,"China",6,"Heilongjiang",127.7615,47.862
"215","confirmed",2020-01-26,"China",7,"Shaanxi",108.8701,35.1917
"216","confirmed",2020-01-26,"China",7,"Shanghai",121.4491,31.202
"217","confirmed",2020-01-26,"China",13,"Guangxi",108.7881,23.8298
"218","confirmed",2020-01-26,"China",15,"Jiangsu",119.455,32.9711
"219","confirmed",2020-01-26,"China",16,"Sichuan",102.7103,30.6171
"220","confirmed",2020-01-26,"China",17,"Fujian",117.9874,26.0789
"221","confirmed",2020-01-26,"China",18,"Chongqing",107.874,30.0572
"222","confirmed",2020-01-26,"China",18,"Jiangxi",115.7221,27.614
"223","confirmed",2020-01-26,"China",19,"Shandong",118.1498,36.3427
"224","confirmed",2020-01-26,"China",21,"Anhui",117.2264,31.8257
"225","confirmed",2020-01-26,"China",26,"Hunan",111.7088,27.6104
"226","confirmed",2020-01-26,"China",27,"Beijing",116.4142,40.1824
"227","confirmed",2020-01-26,"China",33,"Guangdong",113.4244,23.3417
"228","confirmed",2020-01-26,"China",42,"Zhejiang",120.0934,29.1832
"229","confirmed",2020-01-26,"China",51,"Henan",114.9042,37.8957
"230","confirmed",2020-01-26,"China",297,"Hubei",112.2707,30.9756
"231","confirmed",2020-01-26,"Germany",0,"",10.451526,51.165691
"232","confirmed",2020-01-26,"Italy",0,"",12.56738,41.87194
"233","confirmed",2020-01-26,"Japan",2,"",138.252924,36.204824
"234","confirmed",2020-01-26,"Spain",0,"",-3.74922,40.463667
"235","confirmed",2020-01-26,"US",3,"",-100,40
"236","confirmed",2020-01-27,"Australia",0,"Australian Capital Territory",149.0124,-35.4735
"237","confirmed",2020-01-27,"Australia",0,"Northern Territory",130.8456,-12.4634
"238","confirmed",2020-01-27,"Australia",0,"Queensland",153.0251,-27.4698
"239","confirmed",2020-01-27,"Australia",0,"South Australia",138.6007,-34.9285
"240","confirmed",2020-01-27,"Australia",0,"Tasmania",147.3272,-42.8821
"241","confirmed",2020-01-27,"Australia",0,"Victoria",144.9631,-37.8136
"242","confirmed",2020-01-27,"Australia",0,"Western Australia",115.8605,-31.9505
"243","confirmed",2020-01-27,"Australia",1,"New South Wales",151.2093,-33.8688
"244","confirmed",2020-01-27,"Belgium",0,"",4.469936,50.8333
"245","confirmed",2020-01-27,"China",0,"Hong Kong",114.2,22.3
"246","confirmed",2020-01-27,"China",0,"Tibet",88.0924,31.6927
"247","confirmed",2020-01-27,"China",1,"Macau",113.55,22.1667
"248","confirmed",2020-01-27,"China",1,"Xinjiang",85.2401,41.1129
"249","confirmed",2020-01-27,"China",2,"Guizhou",106.8748,26.8154
"250","confirmed",2020-01-27,"China",2,"Jilin",126.1923,43.6661
"251","confirmed",2020-01-27,"China",3,"Ningxia",106.1655,37.2692
"252","confirmed",2020-01-27,"China",4,"Inner Mongolia",113.9448,44.0935
"253","confirmed",2020-01-27,"China",4,"Shanxi",112.2922,37.5777
"254","confirmed",2020-01-27,"China",5,"Hebei",116.1306,39.549
"255","confirmed",2020-01-27,"China",5,"Qinghai",95.9956,35.7452
"256","confirmed",2020-01-27,"China",6,"Heilongjiang",127.7615,47.862
"257","confirmed",2020-01-27,"China",6,"Liaoning",122.6085,41.2956
"258","confirmed",2020-01-27,"China",7,"Gansu",104.2861,35.7518
"259","confirmed",2020-01-27,"China",9,"Tianjin",117.323,39.3054
"260","confirmed",2020-01-27,"China",10,"Anhui",117.2264,31.8257
"261","confirmed",2020-01-27,"China",10,"Guangxi",108.7881,23.8298
"262","confirmed",2020-01-27,"China",10,"Yunnan",101.487,24.974
"263","confirmed",2020-01-27,"China",11,"Hainan",109.7453,19.1959
"264","confirmed",2020-01-27,"China",12,"Beijing",116.4142,40.1824
"265","confirmed",2020-01-27,"China",13,"Shaanxi",108.8701,35.1917
"266","confirmed",2020-01-27,"China",13,"Shanghai",121.4491,31.202
"267","confirmed",2020-01-27,"China",14,"Jiangsu",119.455,32.9711
"268","confirmed",2020-01-27,"China",24,"Fujian",117.9874,26.0789
"269","confirmed",2020-01-27,"China",24,"Zhejiang",120.0934,29.1832
"270","confirmed",2020-01-27,"China",25,"Sichuan",102.7103,30.6171
"271","confirmed",2020-01-27,"China",29,"Shandong",118.1498,36.3427
"272","confirmed",2020-01-27,"China",31,"Hunan",111.7088,27.6104
"273","confirmed",2020-01-27,"China",35,"Chongqing",107.874,30.0572
"274","confirmed",2020-01-27,"China",36,"Jiangxi",115.7221,27.614
"275","confirmed",2020-01-27,"China",40,"Guangdong",113.4244,23.3417
"276","confirmed",2020-01-27,"China",45,"Henan",114.9042,37.8957
"277","confirmed",2020-01-27,"China",365,"Hubei",112.2707,30.9756
