"","date","country","confirmed","death","recovered"
"395",2020-03-18,"China",44,11,957
"396",2020-03-18,"Italy",4207,475,1084
"397",2020-03-18,"Japan",35,2,0
"398",2020-03-18,"Spain",2162,90,53
"399",2020-03-18,"US",2776,57,88
"400",2020-03-19,"Australia",113,0,3
"401",2020-03-19,"Belgium",309,7,0
"402",2020-03-19,"China",54,8,780
"403",2020-03-19,"Italy",5322,427,415
"404",2020-03-19,"Japan",40,1,6
"405",2020-03-19,"Spain",4053,207,26
"406",2020-03-19,"US",5240,77,16
"407",2020-03-20,"Australia",110,1,0
"408",2020-03-20,"Belgium",462,16,-30
"409",2020-03-20,"China",94,4,731
"410",2020-03-20,"Italy",5986,627,0
"411",2020-03-20,"Japan",54,1,41
"412",2020-03-20,"Spain",2447,213,481
"413",2020-03-20,"US",5322,97,26
"414",2020-03-21,"Australia",280,0,0
"415",2020-03-21,"Belgium",558,30,262
"416",2020-03-21,"China",55,6,591
"417",2020-03-21,"Italy",6557,793,1632
"418",2020-03-21,"Japan",37,2,41
"419",2020-03-21,"Spain",4964,332,537
"420",2020-03-21,"US",6346,94,29
"421",2020-03-22,"Australia",478,0,62
"422",2020-03-22,"Belgium",586,8,0
"423",2020-03-22,"China",130,15,505
"424",2020-03-22,"Italy",5560,651,952
"425",2020-03-22,"Japan",45,4,3
"426",2020-03-22,"Spain",3394,397,450
"427",2020-03-22,"US",7936,145,2
"428",2020-03-23,"Australia",133,0,0
"429",2020-03-23,"Belgium",342,13,0
"430",2020-03-23,"China",63,0,452
"431",2020-03-23,"Italy",4789,601,0
"432",2020-03-23,"Japan",40,1,0
"433",2020-03-23,"Spain",6368,539,0
"434",2020-03-23,"US",10089,183,0
"435",2020-03-24,"Australia",362,1,27
"436",2020-03-24,"Belgium",526,34,198
"437",2020-03-24,"China",93,7,466
"438",2020-03-24,"Italy",5249,743,1302
"439",2020-03-24,"Japan",73,1,50
"440",2020-03-24,"Spain",4749,497,1219
"441",2020-03-24,"US",10262,237,170
"442",2020-03-25,"Australia",320,0,4
